"","id","game","category","item","itemnum","RT","RTstart","listrank"
"1","S0lVm6wcxkb",1,"Sporting Games","baseball",2,2559,7079,1
"2","S0lVm6wcxkb",1,"Sporting Games","boxing",11,6711,58172,1
"3","S0lVm6wcxkb",1,"Sporting Games","cricket",8,4112,35598,1
"4","S0lVm6wcxkb",1,"Sporting Games","football",5,3928,17759,1
"5","S0lVm6wcxkb",1,"Sporting Games","gymnastics",4,4552,13831,1
"6","S0lVm6wcxkb",1,"Sporting Games","rugby",6,2880,20639,1
"7","S0lVm6wcxkb",1,"Sporting Games","soccer",1,4520,4520,1
"8","S0lVm6wcxkb",1,"Sporting Games","softball",9,7495,43093,1
"9","S0lVm6wcxkb",1,"Sporting Games","swimming",3,2200,9279,1
"10","S0lVm6wcxkb",1,"Sporting Games","syncronizedswimming",12,13048,71220,1
"11","S0lVm6wcxkb",1,"Sporting Games","waterpolo",7,10847,31486,1
"12","S0lVm6wcxkb",1,"Sporting Games","wrestling",10,8368,51461,1
"13","S0lVm6wcxkb",2,"Objects You Would Find in The Kitchen","bowl",8,4360,25615,1
"14","S0lVm6wcxkb",2,"Objects You Would Find in The Kitchen","caulender",7,7975,21255,1
"15","S0lVm6wcxkb",2,"Objects You Would Find in The Kitchen","coffee",22,4223,87964,1
"16","S0lVm6wcxkb",2,"Objects You Would Find in The Kitchen","cupboard",17,4856,71253,1
"17","S0lVm6wcxkb",2,"Objects You Would Find in The Kitchen","cups",18,2528,73781,1
"18","S0lVm6wcxkb",2,"Objects You Would Find in The Kitchen","food",21,6312,83741,1
"19","S0lVm6wcxkb",2,"Objects You Would Find in The Kitchen","fork",3,1848,9040,1
"20","S0lVm6wcxkb",2,"Objects You Would Find in The Kitchen","knife",4,1720,10760,1
"21","S0lVm6wcxkb",2,"Objects You Would Find in The Kitchen","mug",20,1280,77429,1
"22","S0lVm6wcxkb",2,"Objects You Would Find in The Kitchen","pan",5,1296,12056,1
"23","S0lVm6wcxkb",2,"Objects You Would Find in The Kitchen","plate",2,1544,7192,1
"24","S0lVm6wcxkb",2,"Objects You Would Find in The Kitchen","pot",6,1224,13280,1
"25","S0lVm6wcxkb",2,"Objects You Would Find in The Kitchen","refrigerator",14,9864,58678,1
"26","S0lVm6wcxkb",2,"Objects You Would Find in The Kitchen","sink",16,3639,66397,1
"27","S0lVm6wcxkb",2,"Objects You Would Find in The Kitchen","spatula",10,3856,35903,1
"28","S0lVm6wcxkb",2,"Objects You Would Find in The Kitchen","spoon",1,5648,5648,1
"29","S0lVm6wcxkb",2,"Objects You Would Find in The Kitchen","stove",15,4080,62758,1
"30","S0lVm6wcxkb",2,"Objects You Would Find in The Kitchen","strainer",9,6432,32047,1
"31","S0lVm6wcxkb",2,"Objects You Would Find in The Kitchen","straw",12,2008,46190,1
"32","S0lVm6wcxkb",2,"Objects You Would Find in The Kitchen","toaster",13,2624,48814,1
"33","S0lVm6wcxkb",2,"Objects You Would Find in The Kitchen","tongs",11,8279,44182,1
"34","S0lVm6wcxkb",2,"Objects You Would Find in The Kitchen","wineglass",19,2368,76149,1
"35","S0lVm6wcxkb",3,"Musical Instruments","cello",4,1536,10415,1
"36","S0lVm6wcxkb",3,"Musical Instruments","clarinet",1,3999,3999,1
"37","S0lVm6wcxkb",3,"Musical Instruments","drums",8,2687,19318,1
"38","S0lVm6wcxkb",3,"Musical Instruments","fiddle",14,9335,88235,1
"39","S0lVm6wcxkb",3,"Musical Instruments","flute",5,2119,12534,1
"40","S0lVm6wcxkb",3,"Musical Instruments","guitar",2,1936,5935,1
"41","S0lVm6wcxkb",3,"Musical Instruments","marracas",10,5016,28302,1
"42","S0lVm6wcxkb",3,"Musical Instruments","obo",7,1480,16631,1
"43","S0lVm6wcxkb",3,"Musical Instruments","saxophone",12,10551,48877,1
"44","S0lVm6wcxkb",3,"Musical Instruments","steeldrum",13,30023,78900,1
"45","S0lVm6wcxkb",3,"Musical Instruments","tamborine",9,3968,23286,1
"46","S0lVm6wcxkb",3,"Musical Instruments","trombone",11,10024,38326,1
"47","S0lVm6wcxkb",3,"Musical Instruments","trumpet",6,2617,15151,1
"48","S0lVm6wcxkb",3,"Musical Instruments","violen",3,2944,8879,1
"49","S0lVm6wcxkb",4,"Vegetables","beets",6,2384,16790,1
"50","S0lVm6wcxkb",4,"Vegetables","bellpeppers",8,3105,24302,1
"51","S0lVm6wcxkb",4,"Vegetables","bokchoy",5,2280,14406,1
"52","S0lVm6wcxkb",4,"Vegetables","carrots",4,2616,12126,1
"53","S0lVm6wcxkb",4,"Vegetables","celery",1,4919,4919,1
"54","S0lVm6wcxkb",4,"Vegetables","cilantro",9,3952,28254,1
"55","S0lVm6wcxkb",4,"Vegetables","corn",14,4223,53516,1
"56","S0lVm6wcxkb",4,"Vegetables","cucumbers",7,4407,21197,1
"57","S0lVm6wcxkb",4,"Vegetables","eggplant",11,6520,39853,1
"58","S0lVm6wcxkb",4,"Vegetables","greenbeans",17,6864,84611,1
"59","S0lVm6wcxkb",4,"Vegetables","jalepeno",10,5079,33333,1
"60","S0lVm6wcxkb",4,"Vegetables","kale",15,19104,72620,1
"61","S0lVm6wcxkb",4,"Vegetables","lettuce",2,1880,6799,1
"62","S0lVm6wcxkb",4,"Vegetables","mushrooms",13,3360,49293,1
"63","S0lVm6wcxkb",4,"Vegetables","pumpkin",18,2416,87027,1
"64","S0lVm6wcxkb",4,"Vegetables","snappeas",12,6080,45933,1
"65","S0lVm6wcxkb",4,"Vegetables","squash",16,5127,77747,1
"66","S0lVm6wcxkb",4,"Vegetables","zucchini",3,2711,9510,1
"67","S0lVm6wcxkb",5,"Pieces of Furniture",NA,3,1335,9591,1
"68","S0lVm6wcxkb",5,"Pieces of Furniture","bed",14,5183,58677,1
"69","S0lVm6wcxkb",5,"Pieces of Furniture","bookshelf",12,6344,48678,1
"70","S0lVm6wcxkb",5,"Pieces of Furniture","chair",5,1912,16727,1
"71","S0lVm6wcxkb",5,"Pieces of Furniture","chest",16,16839,83148,1
"72","S0lVm6wcxkb",5,"Pieces of Furniture","coffeetable",11,6760,42334,1
"73","S0lVm6wcxkb",5,"Pieces of Furniture","couch",1,3208,3208,1
"74","S0lVm6wcxkb",5,"Pieces of Furniture","desk",7,2200,21311,1
"75","S0lVm6wcxkb",5,"Pieces of Furniture","dresser",10,3000,35574,1
"76","S0lVm6wcxkb",5,"Pieces of Furniture","loveseat",4,5224,14815,1
"77","S0lVm6wcxkb",5,"Pieces of Furniture","nightstand",2,5048,8256,1
"78","S0lVm6wcxkb",5,"Pieces of Furniture","ottoman",8,4904,26215,1
"79","S0lVm6wcxkb",5,"Pieces of Furniture","stool",9,6359,32574,1
"80","S0lVm6wcxkb",5,"Pieces of Furniture","table",6,2384,19111,1
"81","S0lVm6wcxkb",5,"Pieces of Furniture","tvstand",15,7632,66309,1
"82","S0lVm6wcxkb",5,"Pieces of Furniture","vanity",13,4816,53494,1
"83","S0lVm6wcxkb",6,"Musical Instruments","cello",3,1904,8328,2
"84","S0lVm6wcxkb",6,"Musical Instruments","cello",14,7447,59525,2
"85","S0lVm6wcxkb",6,"Musical Instruments","clarinet",6,5040,19671,2
"86","S0lVm6wcxkb",6,"Musical Instruments","drums",5,3600,14631,2
"87","S0lVm6wcxkb",6,"Musical Instruments","fiddle",15,3176,62701,2
"88","S0lVm6wcxkb",6,"Musical Instruments","flute",10,9583,41758,2
"89","S0lVm6wcxkb",6,"Musical Instruments","guitar",1,4144,4144,2
"90","S0lVm6wcxkb",6,"Musical Instruments","marraccas",13,3336,52078,2
"91","S0lVm6wcxkb",6,"Musical Instruments","ono",8,1336,24815,2
"92","S0lVm6wcxkb",6,"Musical Instruments","piano",4,2703,11031,2
"93","S0lVm6wcxkb",6,"Musical Instruments","saxophone",12,4136,48742,2
"94","S0lVm6wcxkb",6,"Musical Instruments","steeldrum",16,14256,76957,2
"95","S0lVm6wcxkb",6,"Musical Instruments","tamborine",9,7360,32175,2
"96","S0lVm6wcxkb",6,"Musical Instruments","trombone",11,2848,44606,2
"97","S0lVm6wcxkb",6,"Musical Instruments","trumpet",7,3808,23479,2
"98","S0lVm6wcxkb",6,"Musical Instruments","violin",2,2280,6424,2
"99","S0lVm6wcxkb",7,"Objects You Would Find in The Kitchen","blender",6,5855,17918,2
"100","S0lVm6wcxkb",7,"Objects You Would Find in The Kitchen","bowl",9,2280,26070,2
"101","S0lVm6wcxkb",7,"Objects You Would Find in The Kitchen","coffee",17,2744,52141,2
"102","S0lVm6wcxkb",7,"Objects You Would Find in The Kitchen","coffeemaker",5,3352,12063,2
"103","S0lVm6wcxkb",7,"Objects You Would Find in The Kitchen","cookiesheet",14,2815,43876,2
"104","S0lVm6wcxkb",7,"Objects You Would Find in The Kitchen","cupboard",22,5056,88579,2
"105","S0lVm6wcxkb",7,"Objects You Would Find in The Kitchen","cupe",12,2327,33845,2
"106","S0lVm6wcxkb",7,"Objects You Would Find in The Kitchen","fork",2,1296,5455,2
"107","S0lVm6wcxkb",7,"Objects You Would Find in The Kitchen","fruit",21,13600,83523,2
"108","S0lVm6wcxkb",7,"Objects You Would Find in The Kitchen","knife",3,1544,6999,2
"109","S0lVm6wcxkb",7,"Objects You Would Find in The Kitchen","microwave",7,3808,21726,2
"110","S0lVm6wcxkb",7,"Objects You Would Find in The Kitchen","mug",10,2407,28477,2
"111","S0lVm6wcxkb",7,"Objects You Would Find in The Kitchen","oil",16,2992,49397,2
"112","S0lVm6wcxkb",7,"Objects You Would Find in The Kitchen","pan",15,2529,46405,2
"113","S0lVm6wcxkb",7,"Objects You Would Find in The Kitchen","plate",8,2064,23790,2
"114","S0lVm6wcxkb",7,"Objects You Would Find in The Kitchen","refrigerator",20,5951,69923,2
"115","S0lVm6wcxkb",7,"Objects You Would Find in The Kitchen","sink",19,4440,63972,2
"116","S0lVm6wcxkb",7,"Objects You Would Find in The Kitchen","spoon",1,4159,4159,2
"117","S0lVm6wcxkb",7,"Objects You Would Find in The Kitchen","stove",13,7216,41061,2
