"","id","category","item","sp1","dist","range"
"1","SPIgbBvMzqx","Vegetables","carrot",1,1,11
"2","SPIgbBvMzqx","Vegetables","broccoli",2,2,11
"3","SPIgbBvMzqx","Vegetables","celery",4,2,11
"4","SPIgbBvMzqx","Vegetables","tomato",6,7,11
"5","SPIgbBvMzqx","Vegetables","onion",13,-2,11
"6","SPIgbBvMzqx","Vegetables","pepper",11,-3,11
"7","SPIgbBvMzqx","Vegetables","mushroom",8,6,11
"8","SPIgbBvMzqx","Vegetables","broccolirabe",14,-11,11
"9","SPIgbBvMzqx","Vegetables","cucumber",3,6,11
"10","SPIgbBvMzqx","Vegetables","chickpea",9,1,11
"11","SPIgbBvMzqx","Vegetables","edamame",10,-5,11
"12","SPIgbBvMzqx","Pieces of Furniture","couch",1,2,5
"13","SPIgbBvMzqx","Pieces of Furniture","chair",3,4,5
"14","SPIgbBvMzqx","Pieces of Furniture","desk",7,5,5
"15","SPIgbBvMzqx","Pieces of Furniture","tvstand",12,-1,5
"16","SPIgbBvMzqx","Pieces of Furniture","ottoman",11,-5,5
"17","SPIgbBvMzqx","Pieces of Furniture","bedframe",6,-2,5
"18","SPIgbBvMzqx","Clothing Articles","shirt",1,3,13
"19","SPIgbBvMzqx","Clothing Articles","leggings",4,1,13
"20","SPIgbBvMzqx","Clothing Articles","jeans",5,-2,13
"21","SPIgbBvMzqx","Clothing Articles","tanktop",3,-1,13
"22","SPIgbBvMzqx","Clothing Articles","tshirt",2,13,13
"23","SPIgbBvMzqx","Clothing Articles","hoodie",15,1,13
"24","SPIgbBvMzqx","Clothing Articles","crewneck",16,-2,13
"25","SPIgbBvMzqx","Clothing Articles","jeanjacket",14,7,13
"26","SPIgbBvMzqx","Clothing Articles","bra",21,1,13
"27","SPIgbBvMzqx","Clothing Articles","underwear",22,-12,13
"28","SPIgbBvMzqx","Clothing Articles","sandals",10,-2,13
"29","SPIgbBvMzqx","Clothing Articles","sneakers",8,-1,13
"30","SPIgbBvMzqx","Cities","newyorkcity",1,8,8
"31","SPIgbBvMzqx","Cities","tokyo",9,-4,8
"32","SPIgbBvMzqx","Cities","chicago",5,-1,8
"33","SPIgbBvMzqx","Cities","philadelphia",4,-2,8
"34","SPIgbBvMzqx","Cities","losangeles",2,6,8
"35","SPIgbBvMzqx","Cities","santabarbara",8,-1,8
"36","SPIgbBvMzqx","Cities","sandiego",7,-4,8
"37","SPIgbBvMzqx","Cities","sacramento",3,3,8
"38","SPIgbBvMzqx","Cities","boston",6,4,8
"39","SPIgbBvMzqx","Cities","mexicocity",10,1,8
"40","SPIgbBvMzqx","Cities","houston",11,2,8
"41","SPIgbBvMzqx","Countries","canada",1,6,13
"42","SPIgbBvMzqx","Countries","germany",7,-3,13
"43","SPIgbBvMzqx","Countries","france",4,1,13
"44","SPIgbBvMzqx","Countries","italy",5,-2,13
"45","SPIgbBvMzqx","Countries","mexico",3,-1,13
"46","SPIgbBvMzqx","Countries","unitedstates",2,13,13
"47","SPIgbBvMzqx","Countries","china",15,1,13
"48","SPIgbBvMzqx","Countries","japan",16,3,13
"49","SPIgbBvMzqx","Countries","egypt",19,-11,13
"50","SPIgbBvMzqx","Countries","russia",8,1,13
"51","SPIgbBvMzqx","Countries","ukraine",9,1,13
"52","SPIgbBvMzqx","Countries","afghanistan",10,3,13
"53","SPIgbBvMzqx","Countries","brazil",13,-1,13
"54","SPIgbBvMzqx","Countries","argentina",12,-1,13
"55","SPIgbBvMzqx","Fruits","tomato",13,1,14
"56","SPIgbBvMzqx","Fruits","apple",14,1,14
"57","SPIgbBvMzqx","Fruits","orange",15,-14,14
"58","SPIgbBvMzqx","Fruits","strawberry",1,1,14
"59","SPIgbBvMzqx","Fruits","blueberry",2,9,14
"60","SPIgbBvMzqx","Fruits","blackberry",11,-3,14
"61","SPIgbBvMzqx","Fruits","cantaloupe",8,1,14
"62","SPIgbBvMzqx","Fruits","honeydew",9,1,14
"63","SPIgbBvMzqx","Fruits","kiwi",10,8,14
"64","SPIgbBvMzqx","Fruits","starfruit",18,-6,14
"65","SPIgbBvMzqx","Fruits","gojiberry",12,-8,14
"66","SPIgbBvMzqx","Fruits","grape",4,12,14
"67","SPIgbBvMzqx","Animals","zebra",1,3,17
"68","SPIgbBvMzqx","Animals","giraffe",4,-1,17
"69","SPIgbBvMzqx","Animals","elephant",3,2,17
"70","SPIgbBvMzqx","Animals","alligator",5,12,17
"71","SPIgbBvMzqx","Animals","hippopotamus",17,-6,17
"72","SPIgbBvMzqx","Animals","dog",11,1,17
"73","SPIgbBvMzqx","Animals","cat",12,1,17
"74","SPIgbBvMzqx","Animals","fish",13,7,17
"75","SPIgbBvMzqx","Animals","shark",20,-1,17
"76","SPIgbBvMzqx","Animals","whale",19,-1,17
"77","SPIgbBvMzqx","Animals","dolphin",18,-4,17
"78","SPIgbBvMzqx","Animals","hamster",14,2,17
"79","SPIgbBvMzqx","Animals","guineapig",16,-1,17
"80","SPIgbBvMzqx","Animals","ferret",15,-9,17
"81","SPIgbBvMzqx","Animals","crocodile",6,15,17
"82","SPIgbBvMzqx","Animals","snake",21,1,17
