"","id","game","category","itemnum","item","RT","RTstart"
"1","S133yp9D5FO",1,"Musical Instruments",1,"piano",10351,10351
"2","S133yp9D5FO",1,"Musical Instruments",2,"violin",24743,35094
"3","S133yp9D5FO",1,"Musical Instruments",3,"s",3911,39005
"4","S133yp9D5FO",1,"Musical Instruments",4,"trumpet",24455,63460
"5","S133yp9D5FO",1,"Musical Instruments",5,"guitar",16680,80140
"6","S133yp9D5FO",2,"Vegetables",1,"potato",5760,5760
"7","S133yp9D5FO",2,"Vegetables",2,"tomato",3056,8816
"8","S133yp9D5FO",2,"Vegetables",3,"vegetable",73453,82269
"9","S133yp9D5FO",3,"Pieces of Furniture",1,"sofa",10470,10470
"10","S133yp9D5FO",3,"Pieces of Furniture",2,"chair",5769,16239
"11","S133yp9D5FO",3,"Pieces of Furniture",3,"desk",2775,19014
"12","S133yp9D5FO",3,"Pieces of Furniture",4,"chest",18031,37045
"13","S133yp9D5FO",3,"Pieces of Furniture",5,"floor",17233,54278
"14","S133yp9D5FO",3,"Pieces of Furniture",6,"light",10278,64556
"15","S133yp9D5FO",3,"Pieces of Furniture",7,"door",5209,69765
"16","S133yp9D5FO",3,"Pieces of Furniture",8,"tv",15080,84845
"17","S133yp9D5FO",3,"Pieces of Furniture",9,"computer",4224,89069
"18","S133yp9D5FO",4,"Clothing Articles",1,"clothmagazine",53407,53407
"19","S133yp9D5FO",4,"Clothing Articles",2,"fashion",15375,68782
"20","S133yp9D5FO",5,"Cities",1,"newyork",5712,5712
"21","S133yp9D5FO",5,"Cities",2,"la",1904,7616
"22","S133yp9D5FO",5,"Cities",3,"syracuse",5728,13344
"23","S133yp9D5FO",5,"Cities",4,"california",7407,20751
"24","S133yp9D5FO",5,"Cities",5,"beijing",33991,54742
"25","S133yp9D5FO",5,"Cities",6,"shanghai",6752,61494
"26","S133yp9D5FO",6,"Pieces of Furniture",1,"door",8960,8960
"27","S133yp9D5FO",6,"Pieces of Furniture",2,"chair",3199,12159
"28","S133yp9D5FO",6,"Pieces of Furniture",3,"desk",1640,13799
"29","S133yp9D5FO",6,"Pieces of Furniture",4,"chest",6975,20774
"30","S133yp9D5FO",6,"Pieces of Furniture",5,"sofa",13105,33879
"31","S133yp9D5FO",6,"Pieces of Furniture",6,"bed",8911,42790
"32","S133yp9D5FO",6,"Pieces of Furniture",7,"light",7183,49973
"33","S133yp9D5FO",7,"Vegetables",1,"tomato",8142,8142
"34","S133yp9D5FO",7,"Vegetables",2,"potato",4048,12190
"35","S133yp9D5FO",7,"Vegetables",3,"vegetable",2752,14942
"36","S133yp9D5FO",8,"Musical Instruments",1,"piano",7607,7607
"37","S133yp9D5FO",8,"Musical Instruments",2,"violin",5560,13167
"38","S133yp9D5FO",8,"Musical Instruments",3,"trumpet",5320,18487
"39","S133yp9D5FO",8,"Musical Instruments",4,"rock",16078,34565
"40","S133yp9D5FO",8,"Musical Instruments",5,"guitar",15665,50230
"41","S133yp9D5FO",9,"Countries",1,"us",5487,5487
"42","S133yp9D5FO",9,"Countries",2,"uk",1088,6575
"43","S133yp9D5FO",9,"Countries",3,"china",2984,9559
"44","S133yp9D5FO",9,"Countries",4,"india",1880,11439
"45","S133yp9D5FO",9,"Countries",5,"australia",11280,22719
"46","S133yp9D5FO",9,"Countries",6,"canada",24919,47638
"47","S133yp9D5FO",9,"Countries",7,"france",26646,74284
"48","S133yp9D5FO",9,"Countries",8,"iceland",13689,87973
"49","S133yp9D5FO",10,"Cities",1,"neyyork",6423,6423
"50","S133yp9D5FO",10,"Cities",2,"shanghai",2295,8718
"51","S133yp9D5FO",10,"Cities",3,"beijing",2560,11278
"52","S133yp9D5FO",10,"Cities",4,"syracuse",5240,16518
"53","S133yp9D5FO",10,"Cities",5,"chicago",12096,28614
"54","S133yp9D5FO",10,"Cities",6,"california",12151,40765
"55","S133yp9D5FO",11,"Clothing Articles",1,"fashion",7783,7783
"56","S133yp9D5FO",12,"Countries",1,"us",4896,4896
"57","S133yp9D5FO",12,"Countries",2,"uk",1520,6416
"58","S133yp9D5FO",12,"Countries",3,"australia",7384,13800
"59","S133yp9D5FO",12,"Countries",4,"china",2127,15927
"60","S133yp9D5FO",12,"Countries",5,"canada",6609,22536
"61","S133yp9D5FO",12,"Countries",6,"france",2735,25271
"62","S133yp9D5FO",12,"Countries",7,"india",11888,37159
"63","S133yp9D5FO",12,"Countries",8,"japan",39759,76918
"64","S133yp9D5FO",12,"Countries",9,"korean",6960,83878
"65","S133yp9D5FO",13,"Fruits",1,"banana",5735,5735
"66","S133yp9D5FO",13,"Fruits",2,"apple",1640,7375
"67","S133yp9D5FO",13,"Fruits",3,"coconut",4720,12095
"68","S133yp9D5FO",13,"Fruits",4,"orange",16439,28534
"69","S133yp9D5FO",13,"Fruits",5,"grape",7200,35734
"70","S133yp9D5FO",13,"Fruits",6,"watermelon",11592,47326
"71","S133yp9D5FO",13,"Fruits",7,"strawberry",8024,55350
"72","S133yp9D5FO",14,"Animals",1,"elephant",5959,5959
"73","S133yp9D5FO",14,"Animals",2,"cat",1904,7863
"74","S133yp9D5FO",14,"Animals",3,"dog",1359,9222
"75","S133yp9D5FO",14,"Animals",4,"monekey",5224,14446
"76","S133yp9D5FO",14,"Animals",5,"bird",3735,18181
"77","S133yp9D5FO",14,"Animals",6,"sheep",5345,23526
"78","S133yp9D5FO",14,"Animals",7,"tiger",16855,40381
"79","S133yp9D5FO",14,"Animals",8,"eagle",3784,44165
"80","S133yp9D5FO",14,"Animals",9,"cow",8895,53060
"81","S133yp9D5FO",14,"Animals",10,"ox",4001,57061
"82","S133yp9D5FO",14,"Animals",11,"pig",5863,62924
"83","S133yp9D5FO",14,"Animals",12,"mouse",12368,75292
"84","S133yp9D5FO",14,"Animals",13,"rabbit",4176,79468
"85","S133yp9D5FO",15,"Methods of Transportation",1,"airplane",7312,7312
"86","S133yp9D5FO",15,"Methods of Transportation",2,"car",2344,9656
"87","S133yp9D5FO",15,"Methods of Transportation",3,"subway",1864,11520
"88","S133yp9D5FO",15,"Methods of Transportation",4,"train",4070,15590
"89","S133yp9D5FO",15,"Methods of Transportation",5,"ship",4289,19879
"90","S133yp9D5FO",15,"Methods of Transportation",6,"bick",2960,22839
"91","S133yp9D5FO",15,"Methods of Transportation",7,"foot",5712,28551
"92","S133yp9D5FO",15,"Methods of Transportation",8,"electroniccars",57294,85845
"93","S133yp9D5FO",16,"Units of measurement",1,"cm",7991,7991
"94","S133yp9D5FO",16,"Units of measurement",2,"m",992,8983
"95","S133yp9D5FO",16,"Units of measurement",3,"km",2096,11079
"96","S133yp9D5FO",16,"Units of measurement",4,"pound",4072,15151
"97","S133yp9D5FO",16,"Units of measurement",5,"kg",1432,16583
"98","S133yp9D5FO",16,"Units of measurement",6,"m",15422,32005
"99","S133yp9D5FO",16,"Units of measurement",7,"mm",3265,35270
"100","S133yp9D5FO",16,"Units of measurement",8,"g",5878,41148
"101","S133yp9D5FO",16,"Units of measurement",9,"in",19489,60637
"102","S133yp9D5FO",16,"Units of measurement",10,"/",27446,88083
"103","S133yp9D5FO",17,"Sporting Games",1,"basketball",7079,7079
"104","S133yp9D5FO",17,"Sporting Games",2,"football",3080,10159
"105","S133yp9D5FO",17,"Sporting Games",3,"badminton",2870,13029
"106","S133yp9D5FO",17,"Sporting Games",4,"run",1498,14527
"107","S133yp9D5FO",17,"Sporting Games",5,"wallball",13279,27806
"108","S133yp9D5FO",17,"Sporting Games",6,"swimming",18152,45958
"109","S133yp9D5FO",18,"Methods of Transportation",1,"run",3976,3976
"110","S133yp9D5FO",18,"Methods of Transportation",2,"ship",26728,30704
"111","S133yp9D5FO",18,"Methods of Transportation",3,"airplane",3280,33984
"112","S133yp9D5FO",18,"Methods of Transportation",4,"subway",1696,35680
"113","S133yp9D5FO",18,"Methods of Transportation",5,"train",1591,37271
"114","S133yp9D5FO",18,"Methods of Transportation",6,"bickes",4296,41567
"115","S133yp9D5FO",18,"Methods of Transportation",7,"cars",13368,54935
"116","S133yp9D5FO",18,"Methods of Transportation",8,"electroniccars",8728,63663
"117","S133yp9D5FO",18,"Methods of Transportation",9,"bikes",4671,68334
"118","S133yp9D5FO",19,"Animals",1,"elephants",5224,5224
"119","S133yp9D5FO",19,"Animals",2,"cat",1992,7216
"120","S133yp9D5FO",19,"Animals",3,"dofg",1264,8480
"121","S133yp9D5FO",19,"Animals",4,"dog",2047,10527
"122","S133yp9D5FO",19,"Animals",5,"mouse",3057,13584
"123","S133yp9D5FO",19,"Animals",6,"cow",1624,15208
"124","S133yp9D5FO",19,"Animals",7,"ox",560,15768
"125","S133yp9D5FO",19,"Animals",8,"tiger",2943,18711
"126","S133yp9D5FO",19,"Animals",9,"rabbit",1640,20351
"127","S133yp9D5FO",19,"Animals",10,"sheep",7024,27375
"128","S133yp9D5FO",19,"Animals",11,"money",1592,28967
"129","S133yp9D5FO",19,"Animals",12,"chicken",3720,32687
"130","S133yp9D5FO",19,"Animals",13,"pig",3838,36525
"131","S133yp9D5FO",19,"Animals",14,"bird",7537,44062
"132","S133yp9D5FO",19,"Animals",15,"fish",5384,49446
"133","S133yp9D5FO",19,"Animals",16,"bear",33567,83013
"134","S133yp9D5FO",20,"Fruits",1,"banana",5399,5399
"135","S133yp9D5FO",20,"Fruits",2,"watermelon",6743,12142
"136","S133yp9D5FO",20,"Fruits",3,"straberry",3191,15333
"137","S133yp9D5FO",20,"Fruits",4,"blueberry",9585,24918
"138","S133yp9D5FO",20,"Fruits",5,"grape",2208,27126
"139","S133yp9D5FO",20,"Fruits",6,"apple",1240,28366
"140","S133yp9D5FO",20,"Fruits",7,"orange",1888,30254
"141","S133yp9D5FO",20,"Fruits",8,"coconut",12815,43069
"142","S133yp9D5FO",20,"Fruits",9,"mango",3927,46996
"143","S133yp9D5FO",20,"Fruits",10,"cherryberry",33560,80556
"144","S133yp9D5FO",21,"Objects You Would Find in The Kitchen",1,"knife",6303,6303
"145","S133yp9D5FO",21,"Objects You Would Find in The Kitchen",2,"board",6624,12927
"146","S133yp9D5FO",21,"Objects You Would Find in The Kitchen",3,"food",4648,17575
"147","S133yp9D5FO",21,"Objects You Would Find in The Kitchen",4,"floor",13424,30999
"148","S133yp9D5FO",21,"Objects You Would Find in The Kitchen",5,"desk",1136,32135
"149","S133yp9D5FO",21,"Objects You Would Find in The Kitchen",6,"fork",8870,41005
"150","S133yp9D5FO",21,"Objects You Would Find in The Kitchen",7,"bowl",5345,46350
"151","S133yp9D5FO",21,"Objects You Would Find in The Kitchen",8,"pot",4080,50430
"152","S133yp9D5FO",21,"Objects You Would Find in The Kitchen",9,"light",8663,59093
"153","S133yp9D5FO",22,"Sporting Games",1,"badminton",4504,4504
"154","S133yp9D5FO",22,"Sporting Games",2,"basketball",5064,9568
"155","S133yp9D5FO",22,"Sporting Games",3,"football",2359,11927
"156","S133yp9D5FO",22,"Sporting Games",4,"wallball",2728,14655
"157","S133yp9D5FO",22,"Sporting Games",5,"running",3712,18367
"158","S133yp9D5FO",22,"Sporting Games",6,"swimming",3688,22055
"159","S133yp9D5FO",22,"Sporting Games",7,"shotgames",10840,32895
"160","S133yp9D5FO",22,"Sporting Games",8,"tennisball",45286,78181
"161","S133yp9D5FO",22,"Sporting Games",9,"volleyball",8767,86948
"162","S133yp9D5FO",22,"Sporting Games",10,"golf",2584,89532
"163","S133yp9D5FO",23,"Units of measurement",1,"g",5070,5070
"164","S133yp9D5FO",23,"Units of measurement",2,"kg",1176,6246
"165","S133yp9D5FO",23,"Units of measurement",3,"mm",2408,8654
"166","S133yp9D5FO",23,"Units of measurement",4,"cm",912,9566
"167","S133yp9D5FO",23,"Units of measurement",5,"m",800,10366
"168","S133yp9D5FO",23,"Units of measurement",6,"in",1272,11638
"169","S133yp9D5FO",23,"Units of measurement",7,"pound",4712,16350
"170","S133yp9D5FO",24,"Sporting Games",1,"football",9384,9384
"171","S133yp9D5FO",24,"Sporting Games",2,"badminton",2352,11736
"172","S133yp9D5FO",24,"Sporting Games",3,"basketball",4687,16423
"173","S133yp9D5FO",24,"Sporting Games",4,"skis",1385,17808
"174","S133yp9D5FO",24,"Sporting Games",5,"volleyball",12879,30687
"175","S133yp9D5FO",24,"Sporting Games",6,"tennis",1592,32279
